index,institutionCode,catalogueNumber,filename,similarity
261308,LSUMNS,164076,TE.M.B.LSU164076.00000003.Master.Transmission,1
261372,LSUMNS,164076,TE.M.B.LSU164076.00000004.Master.Transmission,1
261436,LSUMNS,164076,TE.M.B.LSU164076.00000005.Master.Transmission,1
261567,LSUMNS,164077,TE.M.B.LSU164077.00000002.Master.Transmission,1
262008,LSUMNS,29245,TE.M.B.LSU29245.00000004.Master.Transmission,1
261631,LSUMNS,164077,TE.M.B.LSU164077.00000003.Master.Transmission,1
261695,LSUMNS,164077,TE.M.B.LSU164077.00000004.Master.Transmission,1
261759,LSUMNS,164077,TE.M.B.LSU164077.00000005.Master.Transmission,1
261816,LSUMNS,29245,TE.M.B.LSU29245.00000001.Master.Transmission,1
261880,LSUMNS,29245,TE.M.B.LSU29245.00000002.Master.Transmission,1
261944,LSUMNS,29245,TE.M.B.LSU29245.00000003.Master.Transmission,1
267707,LSUMNS,163519,TE.M.LSU163519.00000003.Master.Transmission,1
267835,LSUMNS,163519,TE.M.LSU163519.00000005.Master.Transmission,1
281275,LSUMNS,163519,TE.R.LSU163519.00000005.Master.Transmission,1
267903,LSUMNS,164077,TE.M.LSU164077.00000001.Master.Transmission,1
269110,LSUMNS,30555,TE.M.LSU30555.00000005.Master.Transmission,1
280381,LSUMNS,108223,TE.R.LSU108223.00000001.Master.Transmission,1
280445,LSUMNS,108223,TE.R.LSU108223.00000002.Master.Transmission,1
280509,LSUMNS,108223,TE.R.LSU108223.00000003.Master.Transmission,1
280573,LSUMNS,108223,TE.R.LSU108223.00000004.Master.Transmission,1
280637,LSUMNS,108223,TE.R.LSU108223.00000005.Master.Transmission,1
280693,LSUMNS,140133,TE.R.LSU140133.00000001.Master.Transmission,1
280757,LSUMNS,140133,TE.R.LSU140133.00000002.Master.Transmission,1
280821,LSUMNS,140133,TE.R.LSU140133.00000003.Master.Transmission,1
280885,LSUMNS,140133,TE.R.LSU140133.00000004.Master.Transmission,1
280949,LSUMNS,140133,TE.R.LSU140133.00000005.Master.Transmission,1
281019,LSUMNS,163519,TE.R.LSU163519.00000001.Master.Transmission,1
281083,LSUMNS,163519,TE.R.LSU163519.00000002.Master.Transmission,1
281147,LSUMNS,163519,TE.R.LSU163519.00000003.Master.Transmission,1
281211,LSUMNS,163519,TE.R.LSU163519.00000004.Master.Transmission,1
269046,LSUMNS,30555,TE.M.LSU30555.00000004.Master.Transmission,1
268982,LSUMNS,30555,TE.M.LSU30555.00000003.Master.Transmission,1
268918,LSUMNS,30555,TE.M.LSU30555.00000002.Master.Transmission,1
268344,LSUMNS,29245,TE.M.LSU29245.00000003.Master.Transmission,1
