FileName,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments
,MZUSP,,25101,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,Rio Doce (margem direita),-19.50000,-42.50000,WGS84,,1940-9-02,,,0,0,0,0,,
,MZUSP,,25097,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,S. José da Lagoa (Fazenda Boa Esperança),-19.75000,-43.05000,WGS84,,1940-9-30,,,0,0,0,0,,
,MNRJ,,4359,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,"São Paulo de Muriahe, Faz. Barra Alegre",-21.15000,-42.36667,WGS84,,1926-11-25,,,0,0,0,0,,
,AMNH,,318319,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Subadult,Brazil,Foz do Iguassú,-25.55000,-54.58333,WGS84,,1930-5-30,,,0,0,0,0,,
,MNRJ,,38469,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,"Limeira, Serra da Prata, Guaratuba",-25.71717,-48.76389,WGS84,,1992-8-8,,,0,0,0,0,,
,AMNH,,478534,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,Roca Nova,-25.00000,-49.00000,WGS84,,1901-8-24,,,0,0,0,0,,
,MNRJ,,35251,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,"Faz. Campestre, Campestre, N. Friburgo",-22.26667,-42.53333,WGS84,,1987-9-26,,,0,0,0,0,,
,MZUSP,,34162,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,"Maromba, Parque Nac. de Itatiaia",-22.38000,-44.63000,WGS84,,1950-1-07,,,0,0,0,0,,
,LACM,,27748,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,Pedra Branca - Parati,-23.21667,-44.71667,WGS84,,1950-6-18,,,0,0,0,0,,
,MNRJ,,27898,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,Terezopolis (C. Guinle),-22.43000,-42.98000,WGS84,,1942-11-26,,,0,0,0,0,,
,MNRJ,,37208,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,"Varginha, Canoas, Teresópolis",-22.41667,-42.90000,WGS84,,1990-11-5,,,0,0,0,0,,
,MZUSP,,27273,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,Serra da Bocaina,-22.75000,-44.75000,WGS84,,1941-8-29,,,0,0,0,0,,
,MZUSP,,91162,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,Nova Trento,-27.29989,-49.07864,WGS84,,2010-9-15,,,0,0,0,0,,
,MZUSP,,54474,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,"Anhembi, Fazenda Barreiro Rico",-22.75000,-48.15000,WGS84,,1964-11-13,,,0,0,0,0,,
,MZUSP,,97837,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,Biritiba Assu,-23.63311,-46.11645,WGS84,,,,,0,0,0,0,,
,MZUSP,,31538,Aves,Trogoniformes,Trogonidae,Trogon,rufus,chrysochloros,Male,Adult,Brazil,Boracéia (E. Experim.),-23.65000,-45.90000,WGS84,,1945-11-07,,,0,0,0,0,,
