FileName,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments
TE.H.FMNH21878.00000003,FMNH,,21878,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,Orosi,9.80000,-83.86667,WGS84,,1905-4-22,,Head,0,0,0,0,00000003,
TE.H.FMNH21878.00000004,FMNH,,21878,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,Orosi,9.80000,-83.86667,WGS84,,1905-4-22,,Head,0,0,0,0,00000004,
TE.H.FMNH21878.00000005,FMNH,,21878,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,Orosi,9.80000,-83.86667,WGS84,,1905-4-22,,Head,0,0,0,0,00000005,
TE.H.FMNH21879.00000001,FMNH,,21879,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,Orosi,9.80000,-83.86667,WGS84,,1905-4-21,,Head,0,0,0,0,00000001,
TE.H.FMNH21879.00000002,FMNH,,21879,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,Orosi,9.80000,-83.86667,WGS84,,1905-4-21,,Head,0,0,0,0,00000002,
TE.H.FMNH21879.00000003,FMNH,,21879,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,Orosi,9.80000,-83.86667,WGS84,,1905-4-21,,Head,0,0,0,0,00000003,
TE.H.FMNH21879.00000004,FMNH,,21879,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,Orosi,9.80000,-83.86667,WGS84,,1905-4-21,,Head,0,0,0,0,00000004,
TE.H.FMNH21879.00000005,FMNH,,21879,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Costa Rica,Orosi,9.80000,-83.86667,WGS84,,1905-4-21,,Head,0,0,0,0,00000005,
TE.H.FMNH21881.00000001,FMNH,,21881,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Nicaragua,"San Emilis [=Emilio], Lake Nicaragua",11.52000,-85.87000,WGS84,,1905-4-12,,Head,0,0,0,0,00000001,
TE.H.FMNH21881.00000002,FMNH,,21881,Aves,Trogoniformes,Trogonidae,Trogon,rufus,tenellus,Male,Adult,Nicaragua,"San Emilis [=Emilio], Lake Nicaragua",11.52000,-85.87000,WGS84,,1905-4-12,,Head,0,0,0,0,00000002,
